crop_id,scientific_name,soil_ph_absolute_max,soil_ph_absolute_min,soil_ph_optimal_max,soil_ph_optimal_max,rainfall_annual_optimal_max
2844,Aegle marmelos,8.5,5.3,7.5,7.5,2000.0
2863,Aframomum corrorima,7.5,4.5,6.5,6.5,2000.0
2872,Aframomum melegueta,7.5,4.5,6.5,6.5,1900.0
2881,Afzelia quanzensis,7.5,4.5,7.0,7.0,1400.0
2925,Agropyron repens,8.2,4.2,6.5,6.5,750.0
2958,Albizia chevalieri,7.5,4.5,6.5,6.5,900.0
2994,Allium chinense,7.2,4.3,6.5,6.5,2500.0
3052,Alpinia galanga,6.8,5.0,6.5,6.5,3000.0
3069,Alysicarpus rugosus,8.0,5.5,7.0,7.0,1400.0
3086,Amaranthus hybridus,8.5,6.0,7.5,7.5,600.0
3090,Amaranthus hypochondriacus,7.5,5.5,7.0,7.0,1600.0
3116,Aronia alnifolia,7.5,5.0,7.0,7.0,1100.0
3127,Ammandra natalia,7.0,4.5,6.5,6.5,4500.0
3218,Angelica archangelica,7.3,4.5,6.5,6.5,1100.0
3236,Annona atemoya,7.0,5.0,6.5,6.5,3000.0
3241,Annona montana,8.7,5.0,7.0,7.0,1700.0
3242,Annona scleroderma,7.0,4.5,6.5,6.5,4500.0
3243,Annona senegalensis,7.5,5.0,7.0,7.0,2500.0
3286,Apios americana,8.5,4.5,7.5,7.5,1200.0
3289,Apium graveolens var. rapaceum,8.3,5.3,6.8,6.8,1200.0
3308,Arachis glabrata,8.5,4.5,6.0,6.0,2000.0
3310,Arachis pintoi,7.5,4.5,6.0,6.0,2000.0
3318,Araucaria angustifolia,7.5,5.0,6.5,6.5,2000.0
3327,Archidendron jiringa,7.0,4.5,6.5,6.5,3000.0
3348,Arenga pinnata,8.0,5.0,7.0,7.0,3500.0
3351,Argania sideroxylon,8.0,6.0,7.5,7.5,300.0
3384,Armoracia rusticana,8.7,4.5,7.0,7.0,900.0
3386,Arracacia xanthorrhiza,6.5,4.5,6.0,6.0,1200.0
3423,Artocarpus altilis,8.7,4.3,6.5,6.5,3000.0
3428,Artocarpus chaplasha,7.5,4.0,6.5,6.5,4000.0
3435,Artocarpus integer,6.5,4.0,6.0,6.0,3500.0
3522,Astrocaryum vulgare,8.0,4.0,7.0,7.0,1800.0
3549,Atriplex hortensis,8.2,5.0,7.5,7.5,800.0
3560,Attalea cohune,7.5,4.5,7.0,7.0,3000.0
3568,Avena byzantina,8.2,5.0,7.0,7.0,900.0
3569,Avena fatau,8.2,4.5,6.5,6.5,1000.0
3571,Avena nuda,8.0,5.0,7.7,7.7,1100.0
3572,Avena sterilis,8.0,4.5,7.5,7.5,800.0
3575,Avicennia germinans,7.5,6.0,7.0,7.0,2500.0
3576,Avicennia marina,7.5,6.0,7.0,7.0,2500.0
3582,Azanza garckeana,7.5,4.5,7.0,7.0,750.0
3591,Baccaurea motleyana,6.5,4.5,6.0,6.0,3500.0
3596,Baccaurea racemosa,6.0,4.5,5.5,5.5,2500.0
3597,Baccaurea ramiflora,6.5,4.5,6.0,6.0,3500.0
3608,Balanites aegyptiaca,8.5,6.5,8.0,8.0,800.0
3613,Bambusa arundinacea,7.0,4.0,6.5,6.5,2500.0
3618,Bambusa blumeana,7.0,4.5,6.5,6.5,4000.0
3655,Bassia latifolia,7.5,5.0,7.0,7.0,1600.0
3659,Bauhinia esculenta,7.4,5.0,7.0,7.0,1200.0
3669,Bauhinia rufescens,8.0,5.0,7.5,7.5,1000.0
3673,Beckmannia eruciformis,7.5,5.5,7.2,7.2,1300.0
3697,Berchemia discolor,7.5,4.5,7.0,7.0,1000.0
3699,Bertholletia excelsa,8.0,4.5,7.0,7.0,2800.0
3712,Beta vulgaris var. crassa,8.3,5.0,6.8,6.8,1500.0
3713,Beta vulgaris var. flavescens,7.5,5.5,7.0,7.0,750.0
3722,Betula pubescens,8.0,4.0,7.5,7.5,900.0
3761,Borago officinalis,8.3,6.0,7.5,7.5,1000.0
3765,Borassus flabellifer,8.0,6.5,7.5,7.5,1500.0
3771,Borojoa patinoi,7.0,4.0,6.5,6.5,6000.0
3814,Brachiaria ramosa,8.0,6.5,7.5,7.5,800.0
3848,Brassica carinata,8.5,5.0,8.0,8.0,1500.0
3861,Brassica napus var. napobrassica,7.8,4.8,7.0,7.0,1000.0
3867,Brassica oleracea var. acephala,8.3,4.5,6.0,6.0,1000.0
3877,Brassica rapa Gaisin gr.,7.0,5.0,6.5,6.5,1400.0
3878,Brassica rapa Pak Choi,7.5,5.0,7.0,7.0,1400.0
3881,Brassica rapa var. rapifera,7.5,4.3,6.8,6.8,1400.0
3896,Bridelia micrantha,7.5,4.5,7.0,7.0,2500.0
3957,Buchanania latifolia,7.2,4.9,6.0,6.0,1500.0
3988,Butomus umbellatus,8.5,4.5,8.0,8.0,1000.0
4037,Calathea allouia,7.5,5.5,7.0,7.0,2000.0
4081,Caltha palustris,7.3,4.8,6.5,6.5,900.0
4089,Camellia sinensis var. assamica,6.0,4.0,5.5,5.5,4000.0
4090,Camellia sinensis var. sinensis,6.0,4.0,5.5,5.5,2000.0
4094,Campanula rapunculus,7.5,6.0,7.0,7.0,900.0
4111,Canarium ovatum,6.5,4.5,6.0,6.0,3000.0
4145,Capparis decidua,8.5,6.5,7.5,7.5,600.0
4159,Capparis spinosa,8.3,6.0,7.5,7.5,1000.0
4161,Capparis tomentosa,8.5,6.0,8.0,8.0,1000.0
4218,Carica pubescens,8.4,4.5,7.0,7.0,1700.0
4223,Carissa carandas,8.5,6.0,8.0,8.0,1400.0
4225,Carissa edulis,8.0,6.0,7.5,7.5,1300.0
4229,Carissa macrocarpa,8.0,5.0,6.5,6.5,1200.0
4256,Carum carvi,7.8,4.8,7.0,7.0,1000.0
4271,Caryocar nuciferum,7.0,5.5,6.5,6.5,2000.0
4273,Caryodendron orinocense,6.5,4.5,6.0,6.0,3000.0
4278,Caryota urens,8.0,5.5,7.5,7.5,2400.0
4281,Cassia auriculata,8.0,5.0,7.0,7.0,1600.0
4305,Cassia tomentosa,7.0,5.0,6.5,6.5,1500.0
4312,Castanea crenata,7.0,5.0,6.0,6.0,1500.0
